SS_GROUP,Village,Surface,Agro_1,Agro_12,Agro_13,Agro_14,Agro_15,Agro_16,Agro_2,Agro_3,Agro_4,Agro_5,Agro_6,Agro_7,Agro_8,Agro_9
1,4256,25.5796,,,,,,,,,,,,1.0,,
1,4257,5.9459,,,,,,,,,,,,1.0,,
1,4259,7.53465,,,,,,,,,,,,1.0,,
1,4262,6.93348,,,,,,,,,,,,1.0,,
1,4273,6.91272,,,0.7975976305397104,,,,,,,,,0.20240236946028964,,
1,4274,10.6245,,,0.16690165227602893,,,,,,,,,0.8330983477239711,,
1,4275,15.9687,,,0.6123106150558062,,,,,,,,,0.38768938494419386,,
1,4276,13.6115,,,0.3113564238089533,,,,,,,,,0.6886435761910468,,
1,4277,8.43277,,,1.0,,,,,,,,,,,
1,4278,6.68809,,,1.0,,,,,,,,,,,
1,4279,9.45271,,,0.376755748912368,,,,,,,,,0.623244251087632,,
1,4280,9.90562,,,0.0474940398060593,,,,,,,,,0.9525059601939407,,
1,4281,8.02764,,,0.30844370548113437,,,,,,,,,0.6915562945188657,,
1,4282,7.49408,,,,,,,,,,,,1.0,,
1,4283,4.19624,,,,,,,,,,,,1.0,,
1,4284,5.90201,,,,,,,,,,,,1.0,,
1,4285,4.97817,,,,,,,,,,,,1.0,,
1,4286,5.15611,,,0.05106198334951312,,,,,,,,,0.9489380166504868,,
1,4287,12.7364,,,,,,,,,,,,1.0,,
1,4288,20.372,,,,,,,,,,,,1.0,,
1,4289,9.04199,,,1.0,,,,,,,,,,,
1,4290,18.962,,,1.0,,,,,,,,,,,
1,4291,11.7923,,,0.6453299211687091,,,,,,,,,0.3546700788312908,,
1,4292,7.5455,,,0.7601485471923776,,,,,,,,,0.23985145280762238,,
1,4293,8.87929,,,1.0,,,,,,,,,,,
1,4294,9.02777,,,0.29862362393894726,,,,,,,,,0.7013763760610527,,
1,4295,7.45682,,,,,,,,,,,,1.0,,
1,4296,5.3605,,,,,,,,,,,,1.0,,
1,4297,11.2203,,,,,,,,,,,,1.0,,
1,4298,10.7758,,,0.7343653773740945,,,,,,,,,0.2656346226259056,,
1,4299,13.5027,,,0.7077961836391926,,,,,,,,,0.2922038163608074,,
1,4300,5.55208,,,1.0,,,,,,,,,,,
1,4301,9.23502,,,1.0,,,,,,,,,,,
1,4302,16.4932,,,1.0,,,,,,,,,,,
1,4303,7.73166,,,1.0,,,,,,,,,,,
1,4304,14.9973,,,1.0,,,,,,,,,,,
1,4305,11.7267,,,1.0,,,,,,,,,,,
1,4306,8.76687,,,1.0,,,,,,,,,,,
1,4307,5.45839,,,1.0,,,,,,,,,,,
1,4308,5.66456,,,1.0,,,,,,,,,,,
1,4309,6.76942,,,1.0,,,,,,,,,,,
1,4310,9.8119,,,1.0,,,,,,,,,,,
1,4311,9.92306,,,0.8436772825401678,,,,,,,,,0.15632271745983223,,
1,4312,19.0725,,,0.610773895322829,,,,,,,,,0.38922610467717106,,
1,4313,10.1304,,,0.9832223432569318,,,,,,,,,0.01677765674306828,,
1,4314,17.003,,,0.42311870047084055,,,,,,,,,0.5768812995291593,,
1,4315,3.39991,,,,,,,,,,,,1.0,,
1,4316,13.2488,,,,,,,,,,,,1.0,,
1,4317,9.48836,,,1.0,,,,,,,,,,,
1,4318,12.2509,,,0.5748206470941424,,,,,,,,,0.4251793529058576,,
1,4319,4.93708,,,0.3647857680549369,,,,,,,,,0.6352142319450632,,
1,4320,7.40586,,,,,,,,,,,,1.0,,
1,4321,8.94639,,,1.0,,,,,,,,,,,
1,4322,3.86628,,,,,,,,,,,,1.0,,
1,4323,6.18977,,,0.0022414384400568335,,,,,,,,,0.9977585615599432,,
1,4324,11.1957,,,0.49959868191562495,,,,,,,,,0.500401318084375,,
1,4325,8.09674,,,1.0,,,,,,,,,,,
1,4326,4.17611,,,0.8371331070410776,,,,,,,,,0.1628668929589225,,
1,4327,3.80228,,,0.04294772101926067,,,,,,,,,0.9570522789807394,,
1,4328,1.7009,,,0.04380587199322291,,,,,,,,,0.956194128006777,,
1,4329,4.38199,,,,,,,,,,,,1.0,,
1,4330,10.8174,,,,,,,,,,,,1.0,,
1,4331,11.4068,,,0.12354172898594071,,,,,,,,,0.8764582710140593,,
1,4332,15.3171,,,0.7521098665029919,,,,,,,,,0.24789013349700803,,
1,4333,13.15,,,,,,,,,,,,1.0,,
1,4334,13.7437,,,0.38584311085111306,,,,,,,,,0.6141568891488869,,
1,4335,15.4941,,,,,,,,,,,,1.0,,
1,4336,9.94559,,,0.03526899759789531,,,,,,,,,0.9647310024021047,,
1,4337,10.9382,,,0.05741137480846699,,,,,,,,,0.942588625191533,,
1,4338,12.6685,,,0.4269343719035232,,,,,,,,,0.5730656280964768,,
1,4339,13.1356,,,0.020108728602898085,,,,,,,,,0.979891271397102,,
1,4340,8.63677,,,1.0,,,,,,,,,,,
1,4341,8.44514,,,0.719414965253461,,,,,,,,,0.2805850347465389,,
1,4342,4.68436,,,0.11009679194587421,,,,,,,,,0.8899032080541257,,
1,4343,8.04378,,,0.6831399458955049,,,,,,,,,0.31686005410449514,,
1,4344,7.97744,,,1.0,,,,,,,,,,,
1,4345,9.23523,,,0.9979224831663656,,,,,,,,,0.002077516833634423,,
1,4346,7.47556,,,1.0,,,,,,,,,,,
1,4347,8.36808,,,1.0,,,,,,,,,,,
1,4348,5.1734,,,1.0,,,,,,,,,,,
1,4349,4.29317,,,1.0,,,,,,,,,,,
1,4350,9.18521,,,1.0,,,,,,,,,,,
1,4351,9.71671,,,0.9688086496104007,,,,,,,,,0.03119135038959923,,
